Taxa,Group,Organism,Reference,Movement,Reference,Trophic,Reference,N_fixation,Reference,Silica,Reference
Cyanocatena,Cyanophyta (Blue green),Filamentous,,Passively,https://www.algaebase.org/search/genus/detail/?genus_id=44853,Photoautotrophic,,Non_N_fixing,,Non_silica,
Cyanodictyon,Cyanophyta (Blue green),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Cyanogranis,Cyanophyta (Blue green),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Cyanonephron,Cyanophyta (Blue green),Colonial,10.1007/978-94-007-3855-3_8,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Cyclotella,Bacilariophyta (Diatom),Individual,,Passively,,Mixotrophic,"	https://doi.org/10.1051/limn/2018009",Non_N_fixing,,Silica,
Cyclotella.sp4,Bacilariophyta (Diatom),Individual,,Passively,,Mixotrophic,"	https://doi.org/10.1051/limn/2018009",Non_N_fixing,,Silica,
Cylindrotheca.closterium,Bacilariophyta (Diatom),Individual,,Mucilage,,Mixotrophic,DOI: 10.1126/sciadv.ado2623,Non_N_fixing,,Silica,
Cymbella,Bacilariophyta (Diatom),Individual,,Mucilage,,Photoautotrophic,,Non_N_fixing,,Silica,
Diatoma,Bacilariophyta (Diatom),Individual,,Mucilage,,Photoautotrophic,,Non_N_fixing,,Silica,
Diceras,Chrysophyta (Golden brown),Individual,,Flagellar,,Photoautotrophic,,Non_N_fixing,,Silica,
Dichotomococcus,Chlorophyta (Green algae),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Dictyocha,Chrysophyta (Golden brown),Individual,,Flagellar,,Mixotrophic,https://doi.org/10.3389/fmicb.2021.682651,Non_N_fixing,,Silica,
Dictyosphaerium,Chlorophyta (Green algae),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Dinobryon,Chrysophyta (Golden brown),Colonial,https://doi.org/10.1016/B978-012741550-5/50013-1,Passively,,Mixotrophic,"	https://doi.org/10.1051/limn/2018009",Non_N_fixing,,Silica,
Diploneis.sp1,Bacilariophyta (Diatom),Individual,,Mucilage,,Photoautotrophic,,Non_N_fixing,,Silica,
Elakatothrix,Chlorophyta (Green algae),Colonial,https://doi.org/10.1016/B978-012741550-5/50009-X,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Encyonema,Bacilariophyta (Diatom),Individual,,Mucilage,,Photoautotrophic,,Non_N_fixing,,Silica,
Entomoneis,Bacilariophyta (Diatom),Individual,,Mucilage,,Photoautotrophic,,Non_N_fixing,,Silica,
Eucampia,Bacilariophyta (Diatom),Colonial,,Mucilage,,Photoautotrophic,,Non_N_fixing,,Silica,
Eudorina,Chlorophyta (Green algae),Colonial,,Flagellar,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Euglena,Euglenophyta (Euglenoid),Individual,,Flagellar,,Photoautotrophic,"	https://doi.org/10.1051/limn/2018009",Non_N_fixing,,Non_silica,
Eunotia,Bacilariophyta (Diatom),Individual,,Mucilage,,Photoautotrophic,"	https://doi.org/10.1051/limn/2018009",Non_N_fixing,,Silica,
Eunotia.sp1,Bacilariophyta (Diatom),Individual,,Mucilage,,Mixotrophic,"	https://doi.org/10.1051/limn/2018009",Non_N_fixing,,Silica,
Eutreptiella,Euglenophyta (Euglenoid),Individual,,Flagellar,,Mixotrophic,https://doi.org/10.1016/j.hal.2018.02.003,Non_N_fixing,,Non_silica,
Fragilaria,Bacilariophyta (Diatom),Filamentous,,Passively,,Photoautotrophic,,Non_N_fixing,,Silica,
Golenkinia,Chlorophyta (Green algae),Individual,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Gomphonema,Bacilariophyta (Diatom),Colonial,,Mucilage,,Photoautotrophic,,Non_N_fixing,,Silica,
Gonatozygon,Chlorophyta (Green algae),Filamentous,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Gonium,Chlorophyta (Green algae),Colonial,,Flagellar,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Green.algae.sp3,Chlorophyta (Green algae),Individual,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Guinardia,Bacilariophyta (Diatom),Filamentous,,Passively,,Photoautotrophic,,Non_N_fixing,,Silica,
Gymnodinium,Dinophyta,Individual,,Flagellar,,Mixotrophic,https://doi.org/10.4490/algae.2020.35.9.2,Non_N_fixing,,Non_silica,
Gyrosigma,Bacilariophyta (Diatom),Individual,,Mucilage,,Photoautotrophic,,Non_N_fixing,,Silica,
Katodinium,Dinophyta,Individual,,Flagellar,,Mixotrophic,https://www.algaebase.org/search/genus/detail/?genus_id=43633,Non_N_fixing,,Non_silica,
Kirchneriella,Chlorophyta (Green algae),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Lagerheimia,Chlorophyta (Green algae),Individual,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Leptocylindrus,Bacilariophyta (Diatom),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Silica,
Limnothrix,Cyanophyta (Blue green),Filamentous,doi: 10.1007/s13213-014-1032-7,Buoyancy,10.1127/1864-1318/2010/0134-0001,Photoautotrophic,,Non_N_fixing,,Non_silica,
Mallomonas.akrokomos,Chrysophyta (Golden brown),Individual,,Flagellar,,Photoautotrophic,,Non_N_fixing,,Silica,
Mallomonas.sp1,Chrysophyta (Golden brown),Individual,,Flagellar,,Photoautotrophic,,Non_N_fixing,,Silica,
Mallomonas.splendens,Chrysophyta (Golden brown),Individual,,Flagellar,,Photoautotrophic,,Non_N_fixing,,Silica,
Melosira,Bacilariophyta (Diatom),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Silica,
Merismopedia,Cyanophyta (Blue green),Colonial,https://doi.org/10.1016/B978-012741550-5/50004-0,Buoyancy,,Photoautotrophic,,Non_N_fixing,10.1127/archiv-hydrobiol/132/1994/141,Non_silica,
Merotrichia,Chrysophyta (Golden brown),Individual,,Flagellar,,Photoautotrophic,,Non_N_fixing,,Silica,
Micractinium,Chlorophyta (Green algae),Colonial,,Passively,,Mixotrophic,https://doi.org/10.1038/s41598-024-63960-6,Non_N_fixing,,Non_silica,
Micrasterias,Chlorophyta (Green algae),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Microcystis.wesenbergii,Cyanophyta (Blue green),Colonial,https://doi.org/10.1016/B978-012741550-5/50004-0,Buoyancy,https://doi.org/10.1093/plankt/fbm054,Photoautotrophic,,Non_N_fixing,doi: 10.1371/journal.pone.0085573,Non_silica,
Monoflagellate.sp1,Miscellaneous,Individual,,Flagellar,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Monoflagellate.sp3,Miscellaneous,Individual,,Flagellar,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Monoflagellate.sp4,Miscellaneous,Individual,,Flagellar,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Mougeotia,Chlorophyta (Green algae),Filamentous,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Navicula,Bacilariophyta (Diatom),Colonial,10.1128/AEM.71.1.428-435.2005,Mucilage,,Mixotrophic,"	https://doi.org/10.1051/limn/2018009",Non_N_fixing,,Silica,
Navicula.sp1,Bacilariophyta (Diatom),Colonial,10.1128/AEM.71.1.428-435.2005,Mucilage,,Mixotrophic,"	https://doi.org/10.1051/limn/2018009",Non_N_fixing,,Non_silica,
Nephrocytium,Chlorophyta (Green algae),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Nitzschia,Bacilariophyta (Diatom),Colonial,,Mucilage,,Mixotrophic,"	https://doi.org/10.1051/limn/2018009",Non_N_fixing,,Silica,
Nostocaceae,Cyanophyta (Blue green),Filamentous,,Buoyancy,,Photoautotrophic,,N_fixing,https://doi.org/10.1016/B978-0-12-822098-6.00001-X,Non_silica,
Oocystis,Chlorophyta (Green algae),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Pandorina,Chlorophyta (Green algae),Colonial,,Passively,,Mixotrophic,https://www.algaebase.org/ https://doi.org/10.1111/j.1529-8817.1971.tb01485.x,Non_N_fixing,,Non_silica,
Pediastrum,Chlorophyta (Green algae),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Peridinium.sp1,Dinophyta,Individual,,Flagellar,,Mixotrophic,"	https://doi.org/10.1051/limn/2018009",Non_N_fixing,,Non_silica,
Peridinium.sp2,Dinophyta,Individual,,Flagellar,,Mixotrophic,"	https://doi.org/10.1051/limn/2018009",Non_N_fixing,,Non_silica,
Phacus,Euglenophyta (Euglenoid),Individual,,Flagellar,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Pinnularia,Bacilariophyta (Diatom),Individual,,Mucilage,,Photoautotrophic,,Non_N_fixing,,Silica,
Planctonema,Chlorophyta (Green algae),Filamentous,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Planktolyngbya,Cyanophyta (Blue green),Filamentous,https://www.algaebase.org/search/genus/detail/?genus_id=43607,Buoyancy,https://doi.org/10.1128/mr.58.1.94-144.1994,Photoautotrophic,,Non_N_fixing,,Non_silica,
Pleurosigma,Bacilariophyta (Diatom),Individual,,Mucilage,,Photoautotrophic,,Non_N_fixing,,Silica,
Protoperidinium,Dinophyta,Individual,,Flagellar,,Mixotrophic,https://doi.org/10.4490/algae.2021.36.2.22,Non_N_fixing,,Non_silica,
Pseudanabaena,Cyanophyta (Blue green),Filamentous,https://doi.org/10.1038/ismej.2008.78,Buoyancy,https://doi.org/10.1128/mr.58.1.94-144.1994,Photoautotrophic,,Non_N_fixing,https://doi.org/10.1186/s40793-024-00605-1,Non_silica,
Pseudanabaena.mucicola,Cyanophyta (Blue green),Filamentous,,Buoyancy,https://doi.org/10.1128/mr.58.1.94-144.1994,Photoautotrophic,,Non_N_fixing,https://doi.org/10.1186/s40793-024-00605-1,Non_silica,
Pyramimonas,Chlorophyta (Green algae),Individual,,Flagellar,,Mixotrophic, https://doi.org/10.1111/1574-6941.12334,Non_N_fixing,,Non_silica,
Rhabdoderma,Cyanophyta (Blue green),Colonial,,Passively,,Photoautotrophic,https://doi.org/10.1111/1574-6941.12334,Non_N_fixing,,Non_silica,
Romeria,Cyanophyta (Blue green),Filamentous,https://link.springer.com/article/10.1007/s10750-015-2242-0,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Scenedesmus,Chlorophyta (Green algae),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Scenedesmus.sp1,Chlorophyta (Green algae),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Scenedesmus.sp2,Chlorophyta (Green algae),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Schroederia,Chlorophyta (Green algae),Individual,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Scrippsiella,Dinophyta,Individual,,Flagellar,,Mixotrophic,https://doi.org/10.4490/algae.2023.38.6.6,Non_N_fixing,,Non_silica,
Selenastrum,Chlorophyta (Green algae),Colonial,,Passively,,Mixotrophic,https://doi.org/10.3389/fenrg.2018.00132,Non_N_fixing,,Non_silica,
Skeletonema,Bacilariophyta (Diatom),Filamentous,,Passively,,Mixotrophic,"	https://doi.org/10.1051/limn/2018009",Non_N_fixing,,Silica,
Skeletonema.costatum,Bacilariophyta (Diatom),Filamentous,,Passively,,Mixotrophic,https://doi.org/10.1111/ppl.13471,Non_N_fixing,,Silica,
Snowella,Cyanophyta (Blue green),Colonial,10.1007/978-94-007-3855-3_8,Buoyancy,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Snowella.lacustris,Cyanophyta (Blue green),Colonial,,Buoyancy,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Spermatozopsis,Chlorophyta (Green algae),Individual,,Flagellar,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Sphaerocystis,Chlorophyta (Green algae),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Spirogyra,Chlorophyta (Green algae),Filamentous,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Spondylosium,Chlorophyta (Green algae),Filamentous,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Staurastrum,Chlorophyta (Green algae),Individual,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Staurodesmus,Chlorophyta (Green algae),Individual,,Passively,,Mixotrophic,"	https://doi.org/10.1051/limn/2018009",Non_N_fixing,,Non_silica,
Stichococcus.sp1,Chlorophyta (Green algae),Individual,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Stichococcus.sp2,Chlorophyta (Green algae),Individual,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Strombomonas,Euglenophyta (Euglenoid),Individual,,Flagellar,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Surirella,Bacilariophyta (Diatom),Individual,,Mucilage,,Photoautotrophic,,Non_N_fixing,,Silica,
Synedra,Bacilariophyta (Diatom),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Silica,
Synura,Chrysophyta (Golden brown),Colonial,,Flagellar,,Mixotrophic,"	https://doi.org/10.1051/limn/2018009",Non_N_fixing,,Silica,
T.Anabaena.circinalis,Cyanophyta (Blue green),Filamentous,,Buoyancy,,Mixotrophic,,N_fixing,https://doi.org/10.1016/j.hal.2015.10.015,Non_silica,
T.Anabaenopsis,Cyanophyta (Blue green),Filamentous,,Buoyancy,,Mixotrophic,,N_fixing,https://doi.org/10.1093/plankt/8.2.353,Non_silica,
T.Chrysochromulina,Chrysophyta (Golden brown),Individual,,Flagellar,,Mixotrophic,https://doi.org/10.1038/s41598-021-82413-y,Non_N_fixing,,Non_silica,
T.Cylindrospermopsis,Cyanophyta (Blue green),Filamentous,,Buoyancy,"https://www.inaturalist.org/guide_taxa/707295#:~:text=The%20gas%20vesicles%20in%20Cylindrospermopsis,nutrients%20and%20other%20growth%20factors.",Photoautotrophic,,N_fixing, https://doi.org/10.1111/jpy.12451,Non_silica,
T.Cylindrospermopsis.raciborskii,Cyanophyta (Blue green),Filamentous,,Buoyancy,"https://www.inaturalist.org/guide_taxa/707295#:~:text=The%20gas%20vesicles%20in%20Cylindrospermopsis,nutrients%20and%20other%20growth%20factors.",Photoautotrophic,,N_fixing, https://doi.org/10.1111/jpy.12451,Non_silica,
T.Dolichospermum,Cyanophyta (Blue green),Filamentous,,Buoyancy,,Photoautotrophic,https://doi.org/10.1038/s41598-019-40883-1,N_fixing,https://doi.org/10.1016/j.chemosphere.2022.134784,Non_silica,
T.Heterocapsa,Dinophyta,Individual,,Flagellar,,Mixotrophic,https://doi.org/10.1002/lno.10470,Non_N_fixing,,Non_silica,
T.Microcystis,Cyanophyta (Blue green),Colonial,https://doi.org/10.1016/B978-012741550-5/50004-0,Buoyancy,https://doi.org/10.1128/mr.58.1.94-144.1994,Photoautotrophic,,Non_N_fixing,doi: 10.1371/journal.pone.0085573,Non_silica,
T.Microcystis.aeruginosa,Cyanophyta (Blue green),Colonial,,Buoyancy,https://doi.org/10.1128/mr.58.1.94-144.1994,Photoautotrophic,,Non_N_fixing,,Non_silica,
T.Oscillatoria,Cyanophyta (Blue green),Filamentous,,Buoyancy,https://doi.org/10.1128/mr.58.1.94-144.1994,Photoautotrophic,,N_fixing,0.1126/science.1257749,Non_silica,
T.Phormidium,Cyanophyta (Blue green),Filamentous,,Buoyancy,,Photoautotrophic,,N_fixing,https://doi.org/10.1016/j.aquabot.2023.103698,Non_silica,
T.Planktothrix,Cyanophyta (Blue green),Filamentous,,Buoyancy,10.1099/00221287-145-10-2769,Photoautotrophic,,N_fixing,https://doi.org/10.1038/srep41181,Non_silica,
T.Prorocentrum,Dinophyta,Individual,,Flagellar,,Photoautotrophic,,Non_N_fixing,,Non_silica,
T.Prorocentrum.minimum,Dinophyta,Individual,,Flagellar,,Mixotrophic,10.1111/jeu.12198,Non_N_fixing,,Non_silica,
T.Pseudo.nitzschia.seriata.complex,Bacilariophyta (Diatom),Colonial,,Mucilage,,Photoautotrophic,,Non_N_fixing,,Silica,
T.Pseudonitzshia.cf,Bacilariophyta (Diatom),Colonial,,Mucilage,,Mixotrophic,,Non_N_fixing,,Silica,
Tabellaria,Bacilariophyta (Diatom),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Silica,
Tetraedron,Chlorophyta (Green algae),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Tetrastrum,Chlorophyta (Green algae),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Thalassionema,Bacilariophyta (Diatom),Colonial,,Mucilage,,Photoautotrophic,,Non_N_fixing,,Silica,
Thalassiosira,Bacilariophyta (Diatom),Colonial,,Passively,,Mixotrophic,"	https://doi.org/10.1051/limn/2018009",Non_N_fixing,,Silica,
Thalassiosira.sp1,Bacilariophyta (Diatom),Colonial,,Passively,,Mixotrophic,"	https://doi.org/10.1051/limn/2018009",Non_N_fixing,,Silica,
Trachelomonas,Euglenophyta (Euglenoid),Individual,,Flagellar,,Photoautotrophic,,Non_N_fixing,,Silica,
Treubaria,Chlorophyta (Green algae),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
